"item_name","nf_calories"
"Sports Drink, Energizing, Orange Splash",96
"Ginger Beer, Jamaican Style",130
"Protein Shake Mix, Original",110
"Maple Syrup, Pure Vermont",200
"Pickles, Sweet Relish",20
"Jalapeno Peppers, Diced",0
"Relish, Dill",0
"Dill Relish",0
"Pickles, Hamburger Dill Chips",0
"Pickles, Sweet Gherkins",40
"Pickles, Kosher Hamburger Dill Chips",0
"Pickles, Kosher Dill, Spears",0
"Pickles, Kosher Baby Dills",0
"Pickles, Kosher Dills",5
"Pickles, No Sugar Added, Bread & Butter Chips",0
"Sweet Relish, No Sugar Added",0
"Pickles, Sweet Gherkins",0
"Pickles, Kosher Dills",0
"Banana Pepper Rings, Mild",5
"Pickles, Kosher Dill",0
"Pickles, Kosher Dill, Petite Snack Crunchers",0
"Pickles, Kosher Petite Dills",0
"Petite Snack Crunchers, Sweet Petite",40
"Baby Dills, Kosher",5
"Kosher Baby Dills",5
"Pickles, Kosher Dill Petites",5
"Pickles, Old-Fashioned Sweet, Bread & Butter Chips",30
"Pickles, Kosher Baby Dills",0
"Kosher Dills",0
"Black Cherry Cream Hand-Crafted Soft Drink",168
"Mints, Fruit Adventure",0
"Mints, Fruit Adventure",0
"Pecans, Glazed, Pecan Pie",150
"100 Calorie Packs Natural Almonds",100
"Almonds, Dry Roasted",100
"Natural Almonds & Walnuts",100
"100 Calorie Packs Cocoa Roast Almonds, Dark Chocolate",100
"Milk Chocolate English Toffee Bar, Miniatures",230
"Mini Robin Eggs",140
"Hard Candy, Original Flavors",70
"Hard Candy, Sugar Free, Assorted",35
"Potstickers, Pork & Vegetable Dumplings",280
"Potstickers, Chicken & Vegetable Dumplings",260
"Ice Cream, Double Vanilla",210
"Ice Cream, Crushed Vanilla Bean",210
"Corn Chips, Original",160
"Roast Beef, Homestyle, Slow Roasted",70
"Pretzel Sticks",120
"1% Lowfat Milk Grade A Vitamin A&D",100
"Blueberry Lite Nonfat Yogurt",80
